GUID1;GUID2;PROFILE1;PROFILE2;MATERIAL1;MATERIAL2;CLASS1;CLASS2;ANGLE;PLANE1_X_OVERLAP;PLANE2_X_OVERLAP;PART1_WDITH;PART2_WDITH;PLANE1_Y_OVERLAP;PLANE2_Y_OVERLAP;PLANE1_Z_OVERLAP;PLANE2_Z_OVERLAP;PART1_HEIGHT;PART2_HEIGHT;PART1_LENGTH;PART2_LENGTH;PART1_POINTS;PART2_POINTS;CONNECTION_FIRST_POINT;CONNECTION_SECOND_POINT
062d2049-e52a-4b82-8b03-e06ef1dddb3f;465f5bf9-47f6-4f06-9109-f0bfecf1707f;UPB265(265X1200);UPB265(265X1200);C45/55;C45/55;12;12;0;-140;-140;1200;1200;1200;1200;265;265;265;265;5860;5860;{122284.87783, 263795.69243, 49290.000763}|{122284.877967, 257935.69243, 49290.000763};{122284.877109, 269795.694429, 49290.000763}|{122284.877247, 263935.694429, 49290.000763};{122884.877828, 263865.693443, 49157.500763};{121684.877246, 263865.693416, 49157.500763}
1bda77ca-7986-46ac-8a76-de9f6a5b4d5e;9c559a99-ec99-483a-a1ea-1b217aacaea7;UPB265(265X1200);UPB265(265X1200);C45/55;C45/55;12;12;0;-140;-140;1200;1200;1200;1200;265;265;265;265;5860;5860;{118684.87783, 263795.692346, 49290.000763}|{118684.877967, 257935.692346, 49290.000763};{118684.877109, 269795.694345, 49290.000763}|{118684.877247, 263935.694345, 49290.000763};{119284.877828, 263865.693359, 49157.500763};{118084.877246, 263865.693331, 49157.500763}
7a21ca00-5b95-4767-b176-1db03252dffd;9c559a99-ec99-483a-a1ea-1b217aacaea7;UPB265(265X1200);UPB265(265X1200);C45/55;C45/55;12;12;0;5860;5860;1200;1200;0;0;265;265;265;265;5860;5860;{119884.877109, 269795.694373, 49290.000763}|{119884.877247, 263935.694373, 49290.000763};{118684.877109, 269795.694345, 49290.000763}|{118684.877247, 263935.694345, 49290.000763};{119284.877109, 269795.694359, 49157.500763};{119284.877244, 263935.694358, 49157.500763}
303228b3-c11a-4119-ad4a-65827fca4ef3;9c559a99-ec99-483a-a1ea-1b217aacaea7;UPB265(265X1200);UPB265(265X1200);C45/55;C45/55;12;12;0;5860;5860;1200;1200;0;0;265;265;265;265;5860.01;5860;{117484.877109, 269795.704317, 49290.000763}|{117484.877247, 263935.694317, 49290.000763};{118684.877109, 269795.694345, 49290.000763}|{118684.877247, 263935.694345, 49290.000763};{118084.877109, 269795.694331, 49157.500763};{118084.877244, 263935.69433, 49157.500763}
7a21ca00-5b95-4767-b176-1db03252dffd;fe02589e-3cc8-4984-9dfa-5ae845c40611;UPB265(265X1200);UPB265(265X1200);C45/55;C45/55;12;12;0;-140;-140;1200;1200;1200;1200;265;265;265;265;5860;5860;{119884.877109, 269795.694373, 49290.000763}|{119884.877247, 263935.694373, 49290.000763};{119884.87783, 263795.692374, 49290.000763}|{119884.877967, 257935.692374, 49290.000763};{120484.877828, 263865.693387, 49157.500763};{119284.877246, 263865.69336, 49157.500763}
273ebec3-bc60-4be8-a54e-55a31f373acc;433fbe87-287f-4140-bc21-9a037372d230;UPB265(265X1200);UPB265(265X1200);C45/55;C45/55;12;12;0;-140;-140;1200;1200;1200;1200;265;265;265;265;5860;5860;{113884.87783, 263795.702233, 49290.000763}|{113884.877967, 257935.702233, 49290.000763};{113884.877109, 269795.704233, 49290.000763}|{113884.877247, 263935.704233, 49290.000763};{114484.877828, 263865.703247, 49157.500763};{113284.877246, 263865.703219, 49157.500763}
433fbe87-287f-4140-bc21-9a037372d230;f2c44e7e-4ef2-4b4f-a587-8b89d8b6856f;UPB265(265X1200);UPB265(265X1200);C45/55;C45/55;12;12;0;5860;5860;1200;1200;0;0;265;265;265;265;5860;5860;{113884.877109, 269795.704233, 49290.000763}|{113884.877247, 263935.704233, 49290.000763};{112684.877109, 269795.704204, 49290.000763}|{112684.877247, 263935.704204, 49290.000763};{113284.877109, 269795.704219, 49157.500763};{113284.877244, 263935.704218, 49157.500763}
433fbe87-287f-4140-bc21-9a037372d230;9fad3eb1-c062-4be0-9be3-90d6c8b84083;UPB265(265X1200);UPB265(265X1200);C45/55;C45/55;12;12;0;5860;5860;1200;1200;0;0;265;265;265;265;5860;5860;{113884.877109, 269795.704233, 49290.000763}|{113884.877247, 263935.704233, 49290.000763};{115084.877109, 269795.704261, 49290.000763}|{115084.877247, 263935.704261, 49290.000763};{114484.877109, 269795.704247, 49157.500763};{114484.877244, 263935.704246, 49157.500763}
303228b3-c11a-4119-ad4a-65827fca4ef3;caa0a1cd-21aa-4628-8b5c-6264b3a8ed45;UPB265(265X1200);UPB265(265X1200);C45/55;C45/55;12;12;0;-139.99;-139.99;1200;1200;1200;1200;265;265;265;265;5860.01;5860.01;{117484.877109, 269795.704317, 49290.000763}|{117484.877247, 263935.694317, 49290.000763};{117484.87783, 263795.702318, 49290.000763}|{117484.877967, 257935.692318, 49290.000763};{118084.877828, 263865.698331, 49157.500763};{116884.877246, 263865.698303, 49157.500763}
303228b3-c11a-4119-ad4a-65827fca4ef3;8bc43575-3b68-498c-a224-e79c9ac47bff;UPB265(265X1200);UPB265(265X1200);C45/55;C45/55;12;12;0;5860;5860;1200;1200;0;0;265;265;265;265;5860.01;5860;{117484.877109, 269795.704317, 49290.000763}|{117484.877247, 263935.694317, 49290.000763};{116284.877109, 269795.704289, 49290.000763}|{116284.877247, 263935.704289, 49290.000763};{116884.877109, 269795.704303, 49157.500763};{116884.877244, 263935.704302, 49157.500763}
0f5425c4-4e5b-45b0-b110-26e02bcdb900;dfde7a20-4f9b-4476-8f37-395985e4a105;UPB265(265X1200);UPB265(265X1200);C45/55;C45/55;12;12;0;-140;-140;1200;1200;1200;1200;265;265;265;265;5860;5860;{111484.877109, 269795.704176, 49290.000763}|{111484.877247, 263935.704176, 49290.000763};{111484.87783, 263795.702177, 49290.000763}|{111484.877967, 257935.702177, 49290.000763};{112084.877828, 263865.70319, 49157.500763};{110884.877246, 263865.703163, 49157.500763}
0f5425c4-4e5b-45b0-b110-26e02bcdb900;f2c44e7e-4ef2-4b4f-a587-8b89d8b6856f;UPB265(265X1200);UPB265(265X1200);C45/55;C45/55;12;12;0;5860;5860;1200;1200;0;0;265;265;265;265;5860;5860;{111484.877109, 269795.704176, 49290.000763}|{111484.877247, 263935.704176, 49290.000763};{112684.877109, 269795.704204, 49290.000763}|{112684.877247, 263935.704204, 49290.000763};{112084.877109, 269795.704191, 49157.500763};{112084.877244, 263935.70419, 49157.500763}
0f5425c4-4e5b-45b0-b110-26e02bcdb900;8d59e270-4db3-4cfc-8428-10e3a2c2fc24;UPB265(265X1200);UPB265(265X1200);C45/55;C45/55;12;12;0;5860;5860;1200;1200;0;0;265;265;265;265;5860;5860;{111484.877109, 269795.704176, 49290.000763}|{111484.877247, 263935.704176, 49290.000763};{110284.877109, 269795.704148, 49290.000763}|{110284.877247, 263935.704148, 49290.000763};{110884.877109, 269795.704163, 49157.500763};{110884.877244, 263935.704162, 49157.500763}
