GUID1;GUID2;PROFILE1;PROFILE2;MATERIAL1;MATERIAL2;CLASS1;CLASS2;ANGLE;PLANE1_X_OVERLAP;PLANE2_X_OVERLAP;PART1_WDITH;PART2_WDITH;PLANE1_Y_OVERLAP;PLANE2_Y_OVERLAP;PLANE1_Z_OVERLAP;PLANE2_Z_OVERLAP;PART1_HEIGHT;PART2_HEIGHT;PART1_LENGTH;PART2_LENGTH;PART1_POINTS;PART2_POINTS;CONNECTION_FIRST_POINT;CONNECTION_SECOND_POINT;PART1_COG;PART2_COG
093210d3-7b72-4f79-9f21-0afd52137acd;855cdbe3-890b-4728-b0ed-5e202ccd18cc;UPB265(265X1200);UPB265(265X1200);C45/55;C45/55;12;12;0;8400.92;8400.92;1200;1200;0;0;265;265;265;265;8400.92;9500.93;{66580.993153, 28990.088358, 26630.000374}|{58229.983153, 28989.996168, 26630.000374};{66581.009905, 30190.088358, 26630.000374}|{57129.979906, 30189.984025, 26630.000374};{66650.900553, 29590.089129, 26497.500374};{58249.977232, 29589.996391, 26497.500374};{62450.445515, 28990.04276, 26497.500374};{61900.443546, 30190.036689, 26497.500374}
093210d3-7b72-4f79-9f21-0afd52137acd;e487f9b0-7193-481f-8ed4-cd1780bc008f;UPB265(265X1200);3580*250;C45/55;C50/60;12;1;0;-189.99;-189.99;1200;250;250.03;250;265;265;265;3580;8400.92;3060.23;{66580.993153, 28990.088358, 26630.000374}|{58229.983153, 28989.996168, 26630.000374};{58329.990478, 29549.92688, 23050.002014}|{54999.990478, 29549.92688, 23050.002014};{58154.983524, 29424.92688, 26365.000374};{58154.983524, 29424.92688, 26630.000374};{62450.445515, 28990.04276, 26497.500374};{56529.877267, 29424.92688, 24840.002014}
093210d3-7b72-4f79-9f21-0afd52137acd;688b6660-2bb3-4b65-ab22-5ad4b7b356ce;UPB265(265X1200);3580*250;C45/55;C50/60;12;1;90;80.01;1159.93;1200;250;1159.93;80.01;265;265;265;3580;8400.92;2530;{66580.993153, 28990.088358, 26630.000374}|{58229.983153, 28989.996168, 26630.000374};{58329.990478, 27019.924286, 23050.002014}|{58329.990478, 29549.924286, 23050.002014};{58289.983524, 28389.995288, 26497.500374};{58289.983524, 29549.92688, 26497.500374};{62450.445515, 28990.04276, 26497.500374};{58204.990478, 28284.926001, 24840.002014}
093210d3-7b72-4f79-9f21-0afd52137acd;b1f3646b-5fd8-42c6-bfed-a63f12cdbbb0;UPB265(265X1200);3580*200;C45/55;C45/55;12;8;90;80.07;817.72;1200;200;817.61;80.02;265;265;265;3580.11;8400.92;4785.49;{66580.993153, 28990.088358, 26630.000374}|{58229.983153, 28989.996168, 26630.000374};{66570.899878, 29205.700968, 23050.001709}|{66570.891474, 24422.216712, 23050.001709};{66610.908198, 29207.700898, 26497.500374};{66610.906762, 28390.086896, 26497.500374};{62450.445515, 28990.04276, 26497.500374};{66670.895677, 26814.957654, 24840.054862}
093210d3-7b72-4f79-9f21-0afd52137acd;1f44f974-7ff1-40b7-95c3-99b5cf0ee3aa;UPB265(265X1200);3580*200;C45/55;C45/55;12;8;90;80;366.39;1200;200;366.39;80.02;265;265;265;3580.11;8400.92;4783.96;{66580.993153, 28990.088358, 26630.000374}|{58229.983153, 28989.996168, 26630.000374};{66570.908311, 34005.664848, 23050.001709}|{66570.899913, 29225.700968, 23050.001709};{66610.901613, 29223.699107, 26497.500374};{66610.897569, 29590.088688, 26497.500374};{62450.445515, 28990.04276, 26497.500374};{66670.904112, 31615.682732, 24840.054862}
5d2872a2-8066-4f22-9180-4d24cfb33196;855cdbe3-890b-4728-b0ed-5e202ccd18cc;3580*200;UPB265(265X1200);C45/55;C45/55;8;12;90;1200.12;80.02;200;1200;80.02;1200;-20;-20;3580.11;265;4783.96;9500.93;{66570.908311, 34005.664848, 26650.001709}|{66570.899913, 29225.700968, 26650.001709};{66581.009905, 30190.088358, 26630.000374}|{57129.979906, 30189.984025, 26630.000374};{66610.90759, 29590.088688, 26640.001041};{66610.894344, 30790.088688, 26640.001041};{66670.904112, 31615.682732, 28440.054862};{61900.443546, 30190.036689, 26497.500374}
855cdbe3-890b-4728-b0ed-5e202ccd18cc;e2ce125c-7f9c-4af0-8a5e-f91f3b79a19b;UPB265(265X1200);3580*250;C45/55;C45/55;12;1;90;80.07;1200.13;1200;250;1200;80.02;-20;-20;265;3580;9500.93;5110;{66581.009905, 30190.088358, 26630.000374}|{57129.979906, 30189.984025, 26630.000374};{57229.984375, 29569.927338, 26650.002014}|{57229.999633, 34949.927338, 26650.002014};{57189.99345, 29589.98469, 26640.001194};{57189.980204, 30789.98469, 26640.001194};{61900.443546, 30190.036689, 26497.500374};{57104.991621, 32124.925926, 28440.002014}
7fc22f06-24f3-4acc-9842-51d7a0e28b80;855cdbe3-890b-4728-b0ed-5e202ccd18cc;3580*250;UPB265(265X1200);C50/60;C45/55;1;12;90;1200.13;80.07;250;1200;80.02;1200;265;265;3580;265;5110;9500.93;{57229.984375, 29569.927338, 23050.002014}|{57229.999633, 34949.927338, 23050.002014};{66581.009905, 30190.088358, 26630.000374}|{57129.979906, 30189.984025, 26630.000374};{57189.994777, 29589.98469, 26497.500374};{57189.981531, 30789.98469, 26497.500374};{57104.992948, 32124.925926, 24840.002014};{61900.443546, 30190.036689, 26497.500374}
855cdbe3-890b-4728-b0ed-5e202ccd18cc;e487f9b0-7193-481f-8ed4-cd1780bc008f;UPB265(265X1200);3580*250;C45/55;C50/60;12;1;0;910.01;910.02;1200;250;-40.03;-40.06;265;265;265;3580;9500.93;3060.23;{66581.009905, 30190.088358, 26630.000374}|{57129.979906, 30189.984025, 26630.000374};{58329.990478, 29549.92688, 23050.002014}|{54999.990478, 29549.92688, 23050.002014};{58059.991361, 29569.966162, 26497.500374};{57149.984653, 29569.956116, 26497.500374};{61900.443546, 30190.036689, 26497.500374};{56529.877267, 29424.92688, 24840.002014}
688b6660-2bb3-4b65-ab22-5ad4b7b356ce;855cdbe3-890b-4728-b0ed-5e202ccd18cc;3580*250;UPB265(265X1200);C50/60;C45/55;1;12;90;-40.06;250.03;250;1200;250;-40.07;265;265;3580;265;2530;9500.93;{58329.990478, 27019.924286, 23050.002014}|{58329.990478, 29549.924286, 23050.002014};{66581.009905, 30190.088358, 26630.000374}|{57129.979906, 30189.984025, 26630.000374};{58204.990478, 29569.960146, 26365.000374};{58204.990478, 29569.960146, 26630.000374};{58204.990478, 28284.926001, 24840.002014};{61900.443546, 30190.036689, 26497.500374}
